"retailer_product";"retailer_price"
"Samsung Galaxy J7 Prime Dual (16GB)";200
"Blu Tank 4";23.76
"Sony Xperia Z3+ Dual (32GB)";312
"ZTE Blade V6 (16GB)";155
"Alcatel 2008";35.75
"Ulefone U008 Pro (16GB)";79.05
"Meizu M5s (16GB)";124.9
"Nokia 105 Dual";24.8
"TP-LINK Neffos Y5L";59.9
"Meizu M3s (16GB)";142
"Powertech Sentry II";32.49
"Vivo X20 (64GB)";465
"LG G4 Dual (32GB)";217
"Meizu M3X (64GB)";359
"Lenovo Moto Z2 Play (4GB/64GB)";294.9
"Google Pixel XL (128GB)";575
"Mediacom PhonePad DUO B500 (16GB)";168
"Elephone S8 (64GB)";289
"Billow S500HD (8GB)";133.7
"Xiaomi Redmi 4a (32GB)";102
"Huawei P10 Dual (64GB)";414.5
"Energy Sistem Phone Pro 3 (32GB)";299.52
"Archos 55 Diamond Selfie (64GB)";313.95
"LG V30+";759.9
"MaxCom MM128";22.99
"CAT B25";65.1
"Leagoo M8 (16GB)";125
"Panasonic EZ240";44.99
"Doogee X6 Pro (16GB)";95
"Samsung Galaxy S9+ Dual (128GB)";1059.8
"Alcatel OneTouch Idol 4 (16GB)";179.78
"Apple iPhone SE (16GB)";268.99
"Doogee BL5000 (64GB)";169
"Samsung Galaxy A5 2016 (16GB)";278.8
"ZTE Blade A612 (1GB/16GB)";148.14
"ZTE Blade A520 (8GB)";96.64
"Wiko View (3GB/16GB)";205
"Elephone C1 (16GB)";128
"Samsung Galaxy S6 (128GB)";621.52
"Panasonic T35 (4GB)";73.9
"Lenovo K6 Note Dual (32GB)";153.8
"Vivo X7 (64GB)";470
"MLS Slice 4G (16GB)";99
"Hisense L675 (8GB)";89.99
"Huawei Y6 Dual (2017) (16GB)";98.99
"Alcatel U5 Fingerprint (16GB)";92.59
"ZTE Blade A520 (16GB)";162.44
"Huawei Honor View 10 (128GB)";500.23
"Huawei P9 Plus (64GB)";367.9
"ZTE Nubia Z17 mini (4GB/64GB)";219.95
"Samsung Galaxy S8+ Dual (128GB)";965
"HTC Desire 10 Lifestyle (32GB)";310
"Huawei Y7 (16GB)";149
"MLS F5 (16GB)";98.45
"Asus ZenFone Go TV (32GB)";208
"Oppo A57 (32GB)";342
"Huawei Honor Y6II (16GB)";155
"Oukitel K10000 (16GB)";184
"Lenovo Moto G4 Dual (16GB)";131.85
"LG K7 3G (8GB)";114.9
"CAT B30";85.16
"Huawei Honor 8 (64GB)";310
"Asus ZenFone 4 (4GB/64GB) (ZE554KL)";400
"Mediacom PhonePad Duo S7p (16GB)";148
"Ulefone U007 (8GB)";88.99
"Lenovo Moto Z2 Play (3GB/32GB)";395
"MLS iQTalk Diamond Fingerprint 4G Dual (16GB)";226.85
"MaxCom MM141";34.99
"Blu R2 (16GB)";125.4
"Lenovo K6 Note (32GB)";219
"Huawei P Smart (32GB)";228.8
"Apple iPhone X (256GB)";1125
"MLS Spirit 8C (16GB)";169
"Wiko Jerry (8GB)";91.12
"Meizu M6 Note (64GB)";269
"Sony Xperia XA1 Plus (4GB/32GB)";278.9
"MLS Easy Flip (8GB)";122.3
"Go Clever Quantum 3 550 Rugged (16GB)";239
"Samsung Galaxy S9 (64GB)";855.95
"Ulefone S8 (16GB)";79.4
"LG K10 Dual (2017) (16GB) Fingerprint";131
"Blu Z3";19.9
"HTC One M9 Prime (16GB)";359
"HTC Desire 728 (16GB)";268.9
"Archos Diamond Gamma (32GB)";249
"LG K10 Dual (2017) (16GB)";123.7
"Lenovo Moto G5S Dual (32GB)";164
"Xiaomi Mi 4s (16GB)";292.48
"Alcatel OneTouch Idol 3 (8GB)";134.9
"Nokia 3";129.8
